,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAC,Blake Griffin\griffbl01,University of Oklahoma,8,490,17247,10565,4574,2050,.513,.315,.678,35.2,21.6,9.3,4.2,64.2,.179,4.1,26.4
2,2,MEM,Hasheem Thabeet\thabeha01,University of Connecticut,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099,-1.4,0.4
3,3,OKC,James Harden\hardeja01,Arizona State University,9,643,21689,14499,3238,3783,.443,.366,.854,33.7,22.5,5.0,5.9,97.9,.217,6.2,44.9
4,4,SAC,Tyreke Evans\evansty01,University of Memphis,9,502,16106,8169,2393,2533,.446,.311,.758,32.1,16.3,4.8,5.0,26.6,.079,1.0,12.2
5,5,MIN,Ricky Rubio\rubiori01,,7,382,12053,4001,1607,3132,.378,.312,.833,31.6,10.5,4.2,8.2,24.3,.097,1.2,9.6
6,6,MIN,Jonny Flynn\flynnjo01,Syracuse University,3,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-.015,-4.9,-2.7
7,7,GSW,Stephen Curry\curryst01,Davidson College,9,597,20647,13694,2619,4068,.476,.435,.903,34.6,22.9,4.4,6.8,88.6,.206,6.4,43.7
8,8,NYK,Jordan Hill\hilljo01,University of Arizona,8,409,7692,3232,2389,322,.497,.136,.699,18.8,7.9,5.8,0.8,16.4,.102,-2.0,0.0
9,9,TOR,DeMar DeRozan\derozde01,University of Southern California,9,623,21235,12125,2548,1801,.448,.278,.826,34.1,19.5,4.1,2.9,48.2,.109,-0.8,6.5
10,10,MIL,Brandon Jennings\jennibr01,,8,541,16639,7728,1628,3107,.388,.346,.795,30.8,14.3,3.0,5.7,29.8,.086,0.5,10.5
11,11,NJN,Terrence Williams\willite01,University of Louisville,4,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-.004,-3.8,-1.4
12,12,CHA,Gerald Henderson\hendege02,Duke University,8,535,13854,5987,1716,1009,.440,.327,.793,25.9,11.2,3.2,1.9,18.3,.063,-2.2,-0.9
13,13,IND,Tyler Hansbrough\hansbty01,University of North Carolina,7,428,7233,2881,1808,181,.439,.136,.738,16.9,6.7,4.2,0.4,20.2,.134,-2.5,-1.0
14,14,PHO,Earl Clark\clarkea01,University of Louisville,6,261,3630,1138,778,134,.403,.328,.664,13.9,4.4,3.0,0.5,2.9,.038,-3.6,-1.5
15,15,DET,Austin Daye\dayeau01,Gonzaga University,6,293,4132,1522,764,212,.402,.351,.778,14.1,5.2,2.6,0.7,4.5,.053,-2.6,-0.6
16,16,CHI,James Johnson\johnsja01,Wake Forest University,9,502,10125,3874,1777,982,.478,.299,.694,20.2,7.7,3.5,2.0,18.7,.089,1.3,8.4
17,17,PHI,Jrue Holiday\holidjr01,University of California Los Angeles,9,534,17368,7735,1932,3315,.444,.363,.790,32.5,14.5,3.6,6.2,28.6,.079,0.9,12.6
18,18,MIN,Ty Lawson\lawsoty01,University of North Carolina,8,551,16088,6977,1506,3316,.460,.359,.770,29.2,12.7,2.7,6.0,42.1,.126,0.7,10.9
19,19,ATL,Jeff Teague\teaguje01,Wake Forest University,9,626,17063,7901,1514,3496,.447,.358,.843,27.3,12.6,2.4,5.6,42.7,.120,0.1,9.1
20,20,UTA,Eric Maynor\maynoer01,Virginia Commonwealth University,5,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041,-4.7,-2.7
21,21,NOH,Darren Collison\collida01,University of California Los Angeles,9,592,17532,7499,1569,2894,.469,.381,.853,29.6,12.7,2.7,4.9,38.4,.105,-0.2,8.0
22,22,POR,Victor Claver\clavevi01,,3,80,1072,258,178,56,.398,.293,.585,13.4,3.2,2.2,0.7,0.2,.011,-3.3,-0.4
23,23,SAC,Omri Casspi\casspom01,,9,524,11082,4276,2148,612,.448,.370,.676,21.1,8.2,4.1,1.2,17.6,.076,-1.4,1.7
24,24,DAL,Byron Mullens\mulleby01,Ohio State University,5,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008,-4.6,-2.3
25,25,OKC,Rodrigue Beaubois\beaubro01,,4,182,2896,1286,338,374,.439,.325,.810,15.9,7.1,1.9,2.1,4.8,.079,-0.1,1.4
26,26,CHI,Taj Gibson\gibsota01,University of Southern California,9,615,15659,5826,3941,622,.497,.164,.701,25.5,9.5,6.4,1.0,40.2,.123,-0.1,7.4
27,27,MEM,DeMarre Carroll\carrode01,University of Missouri,9,440,10265,3670,1750,514,.439,.361,.728,23.3,8.3,4.0,1.2,23.4,.109,1.1,8.2
28,28,MIN,Wayne Ellington\ellinwa01,University of North Carolina,9,544,10990,4140,1151,588,.413,.382,.854,20.2,7.6,2.1,1.1,12.5,.055,-2.4,-1.2
29,29,LAL,Toney Douglas\douglto01,Florida State University,8,394,7511,3009,875,889,.404,.354,.824,19.1,7.6,2.2,2.3,12.1,.077,-0.6,2.6
30,30,CLE,Christian Eyenga\eyengch01,,2,51,1049,320,137,40,.411,.277,.611,20.6,6.3,2.7,0.8,-0.4,-.020,-4.0,-0.5
31,31,SAC,Jeff Pendergraph\pendeje02,Arizona State University,6,237,2322,690,632,99,.553,.400,.776,9.8,2.9,2.7,0.4,6.3,.131,-1.4,0.4
32,32,WAS,Jermaine Taylor\tayloje02,University of Central Florida,2,65,786,351,108,48,.441,.284,.730,12.1,5.4,1.7,0.7,0.2,.014,-4.6,-0.5
33,33,POR,Dante Cunningham\cunnida01,Villanova University,9,607,13057,3688,2310,427,.469,.326,.646,21.5,6.1,3.8,0.7,21.5,.079,-1.1,3.0
34,34,DEN,Sergio Llull\llullse01,,,,,,,,,,,,,,,,,,
35,35,DET,DaJuan Summers\summeda01,Georgetown University,4,83,820,278,82,29,.384,.367,.642,9.9,3.3,1.0,0.3,-0.1,-.008,-6.4,-0.9
36,36,MEM,Sam Young\youngsa01,University of Pittsburgh,4,249,3966,1436,573,180,.442,.280,.742,15.9,5.8,2.3,0.7,5.2,.063,-2.9,-0.9
37,37,SAS,DeJuan Blair\blairde01,University of Pittsburgh,7,424,7054,2865,2153,349,.524,.000,.608,16.6,6.8,5.1,0.8,19.0,.129,0.4,4.2
38,38,POR,Jon Brockman\brockjo01,University of Washington,3,150,1570,320,472,49,.488,.000,.618,10.5,2.1,3.1,0.3,3.7,.113,-2.1,0.0
39,39,DET,Jonas Jerebko\jerebjo01,,8,513,9401,3196,2084,406,.458,.359,.766,18.3,6.2,4.1,0.8,20.6,.105,-0.9,2.7
40,40,CHA,Derrick Brown\brownde04,Xavier University,3,171,2554,895,413,119,.515,.317,.637,14.9,5.2,2.4,0.7,4.5,.085,-1.6,0.2
41,41,MIL,Jodie Meeks\meeksjo01,University of Kentucky,9,484,11390,4652,1028,524,.417,.372,.882,23.5,9.6,2.1,1.1,22.6,.095,-0.5,4.2
42,42,LAL,Patrick Beverley\beverpa01,University of Arkansas,6,302,8624,2842,1230,1012,.413,.376,.767,28.6,9.4,4.1,3.4,20.0,.111,1.8,8.3
43,43,MIA,Marcus Thornton\thornma01,Louisiana State University,8,483,11299,5750,1348,677,.425,.358,.830,23.4,11.9,2.8,1.4,20.0,.085,-0.8,3.4
44,44,DET,Chase Budinger\budinch01,University of Arizona,7,407,7998,3198,1240,473,.430,.352,.797,19.7,7.9,3.0,1.2,13.9,.083,-1.4,1.2
45,45,MIN,Nick Calathes\calatni01,University of Florida,2,129,2011,590,243,353,.441,.288,.581,15.6,4.6,1.9,2.7,2.6,.063,-0.7,0.6
46,46,CLE,Danny Green\greenda02,University of North Carolina,9,497,12515,4398,1708,813,.422,.398,.818,25.2,8.8,3.4,1.6,31.4,.120,3.2,16.3
47,47,MIN,Henk Norel\norelhe01,,,,,,,,,,,,,,,,,,
48,48,PHO,Taylor Griffin\griffta01,University of Oklahoma,1,8,32,10,2,1,.400,.000,.500,4.0,1.3,0.3,0.1,0.0,-.039,-7.3,0.0
49,49,ATL,Sergiy Gladyr\gladyse01,,,,,,,,,,,,,,,,,,
50,50,UTA,Goran Suton,Michigan State University,,,,,,,,,,,,,,,,,
51,51,SAS,Jack McClinton,University of Miami,,,,,,,,,,,,,,,,,
52,52,IND,A.J. Price\priceaj01,University of Connecticut,6,261,3929,1523,377,567,.380,.316,.742,15.1,5.8,1.4,2.2,4.7,.058,-2.4,-0.4
53,53,SAS,Nando De Colo\decolna01,,2,119,1414,453,211,203,.429,.363,.835,11.9,3.8,1.8,1.7,2.4,.081,-0.8,0.4
54,54,CHA,Robert Vaden,University of Alabama at Birmingham,,,,,,,,,,,,,,,,,
55,55,POR,Patrick Mills\millspa02,Saint Mary's College of California,9,471,8237,3754,740,1057,.435,.394,.836,17.5,8.0,1.6,2.2,21.6,.126,0.8,5.9
56,56,DAL,Ahmad Nivins,Saint Joseph's University,,,,,,,,,,,,,,,,,
57,57,PHO,Emir Preldzic\preldem01,,,,,,,,,,,,,,,,,,
58,58,BOS,Lester Hudson\hudsole01,University of Tennessee at Martin,4,57,594,268,77,71,.375,.277,.806,10.4,4.7,1.4,1.2,0.2,.016,-2.7,-0.1
59,59,LAL,Chinemelu Elonu\elonuch01,Texas A&M University,,,,,,,,,,,,,,,,,
60,60,MIA,Robert Dozier,University of Memphis,,,,,,,,,,,,,,,,,
